solution,crf,decode_time_function_model,codec
2k,15,"{'moyal': {'loc': 15.187618909617703, 'scale': 0.9243979378233032}}",264
2k,17,"{'gumbel_r': {'loc': 15.685988825565813, 'scale': 1.4444752758328752}}",264
2k,18,"{{'genhyperbolic': {'p': 4.965859189271825,'a': 13.12061136218064,'b': 11.93257453083151,'loc': 12.21387791913532,'scale': 0.9801575862203098}}}",264
2k,18,"{'alpha:{(6.825710054447129, 4.836772152184938, 82.35166401185748)}",264
2k,22,"{'fisk': {'c': 2.532250346708687,'loc': 13.385608572508655,'scale': 4.010822738803633}}",264
2k,22,"{'alpha:{(3.2098241027342778, 9.23893281232706, 26.247782684310263)}",264
2k,26,"{'genhyperbolic': {'p': -6.400371109153772,'a': 6.582199875565699,'b': 6.574137258117165,'loc': 14.656036808384457,'scale': 4.703358897911535}}",264
2k,26,"{'alpha':{(6.5893067118581286, 5.678624662437194, 76.04623123269336)} }",264
2k,31,"{'exponnorm': {'K': 1.37608835013218,'loc': 15.937673217759578,'scale': 1.1139330868167756}}",264
2k,31,"{'alpha':{(6.786670559929583, 5.452143143903616, 79.66415716388309)}}",264
2k,35,"{'exponnorm': {'K': 1.3261872014120573,'loc': 16.172207939481183,'scale': 1.1374774389576907}}",264
2k,35,"{'alpha':{(6.933497052124677, 5.390853253668664, 83.31744097346066)}}",264
2k,39,"{'genlogistic': {'c': 4.878734720283177,'loc': 15.12873778683704,'scale': 1.3839048468143753}}",264
2k,39,"{(7.570578097711784, 4.421064178396021, 100.72413440544699)}",264

4k,15,"{'geninvgauss': {'p': -1.8166451392025076,'b': 3.8589010468455376,'loc': 12.148489753872125,'scale': 5.738826117139786}}",264
4k,19,"{'fatiguelife': {'c': 0.3904140173690742,'loc': 11.586301037982132,'scale': 4.824621972619786}}",264
4k,19,"{'alpha':{(5.374827306763349, 6.8086269138349165, 51.59737297544447)}",264
4k,21,"{'nakagami': {'nu': 1.0958863229705407,'loc': 13.012525382588521,'scale': 4.806536119819865}}",264
4k,23,"{'chi': {'df': 2.2069166664167374,'loc': 13.034481749144806,'scale': 3.281140216858761}}",264
4k,27,"{'alpha': {'a': 6.534802117366002,'loc': 5.254583856858455,'scale': 75.80458392276533}}",264
4k,32,"{'exponnorm': {'K': 1.1238037906867968,'loc': 16.009218989813185,'scale': 1.274433713627745}}",264
4k,37,"{'exponnorm': {'K': 1.078638204718267,'loc': 16.24120539600738,'scale': 1.3314483941028206}}",264
4k,41,"{'genhyperbolic': {'p': -9.616296553899446,'a': 15.15434564949156,'b': 15.154345480012445,'loc': 13.032441315416811,'scale': 5.357633360943373}}",264
4k,45,"{'genhyperbolic': {'p': -4.2604775578274605,'a': 3.6777386478219736,'b': 3.6578067663531133,'loc': 15.242105418493662,'scale': 3.8498760521881144}}",264

